latitude,longitude,number,tp_mm,month,dataValue,wellDepth
28.7,77.0,0,0.0,2022-11,2.61,54.0
28.7,77.0,0,0.0,2022-11,5.27,250.75
28.7,77.1,0,0.0,2022-11,11.92,100.0
28.7,77.1,0,0.0,2022-11,4.94,80.0
28.7,77.1,0,0.0,2022-11,4.76,75.0
28.7,77.1,0,0.0,2022-11,11.11,100.0
28.7,77.2,0,0.0,2022-11,7.57,25.0
28.7,77.2,0,0.0,2022-11,28.16,100.0
28.7,77.2,0,0.0,2022-11,11.24,70.0
28.7,77.2,0,0.0,2022-11,1.76,50.0
28.7,77.2,0,0.0,2022-11,4.62,45.0
28.5,76.9,0,0.0,2022-11,0.84,28.0
28.5,76.9,0,0.0,2022-11,6.33,100.0
28.5,76.9,0,0.0,2022-11,6.12,40.0
28.5,76.9,0,0.0,2022-11,2.58,15.0
28.5,76.9,0,0.0,2022-11,10.62,100.0
28.5,77.0,0,0.0,2022-11,7.52,75.0
28.5,77.0,0,0.0,2022-11,-13.89,
28.5,77.0,0,0.0,2022-11,13.14,105.0
28.5,77.0,0,0.0,2022-11,-15.56,
28.5,77.0,0,0.0,2022-11,14.15,125.0
28.5,77.1,0,0.0,2022-11,13.65,55.0
28.5,77.1,0,0.0,2022-11,13.08,100.0
28.5,77.1,0,0.0,2022-11,2.66,20.0
28.5,77.1,0,0.0,2022-11,43.04,65.0
28.5,77.1,0,0.0,2022-11,14.26,100.0
28.5,77.1,0,0.0,2022-11,31.68,43.0
28.5,77.2,0,0.0,2022-11,44.7,150.0
28.5,77.2,0,0.0,2022-11,39.04,94.5
28.5,77.2,0,0.0,2022-11,23.95,104.0
28.5,77.3,0,0.0,2022-11,8.0,75.0
28.5,77.3,0,0.0,2022-11,9.64,45.0
28.4,77.1,0,0.0,2022-11,51.69,65.0
28.4,77.1,0,0.0,2022-11,10.07,100.0
28.4,77.1,0,0.0,2022-11,66.75,82.0
28.4,77.1,0,0.0,2022-11,64.74,90.0
28.4,77.2,0,0.0,2022-11,16.0,35.0
28.4,77.2,0,0.0,2022-11,39.17,86.5
28.5,76.9,0,0.0,2022-12,-10.74,
28.5,77.0,0,0.0,2022-12,-8.03,
28.5,77.0,0,0.0,2022-12,-14.28,
28.5,77.0,0,0.0,2022-12,-15.37,
28.4,77.1,0,0.0,2022-12,-66.86,
28.5,76.9,0,0.0,2023-01,-10.72,
28.5,77.0,0,0.0,2023-01,-8.3,
28.5,77.0,0,0.0,2023-01,-14.86,
28.5,77.0,0,0.0,2023-01,-15.14,
28.4,77.1,0,0.0,2023-01,-66.83,
28.5,76.9,0,0.0,2023-02,-10.69,
28.5,77.0,0,0.0,2023-02,-8.63,
28.5,77.0,0,0.0,2023-02,-15.12,
28.5,77.0,0,0.0,2023-02,-14.94,
28.4,77.1,0,0.0,2023-02,-66.77,
28.5,76.9,0,0.0,2023-03,-10.69,
28.5,77.0,0,0.0,2023-03,-8.93,
28.5,77.0,0,0.0,2023-03,-15.84,
28.5,77.0,0,0.0,2023-03,-14.78,
28.4,77.1,0,0.0,2023-03,-66.89,
28.8,77.0,0,0.0,2023-04,-19.83,
28.8,77.2,0,0.0,2023-04,-9.77,
28.7,77.2,0,0.0,2023-04,-5.87,
28.5,76.9,0,0.0,2023-04,-10.64,
28.5,77.0,0,0.0,2023-04,-9.11,
28.5,77.0,0,0.0,2023-04,-17.26,
28.5,77.0,0,0.0,2023-04,-14.64,
28.5,77.2,0,0.0,2023-04,-23.33,
28.4,77.1,0,0.0,2023-04,-66.94,
28.8,76.9,0,0.0,2023-05,-4.61,
28.8,77.0,0,0.0,2023-05,-3.15,
28.8,77.0,0,0.0,2023-05,-7.52,
28.8,77.0,0,0.0,2023-05,-19.72,
28.8,77.1,0,0.0,2023-05,-9.13,
28.8,77.1,0,0.0,2023-05,-7.75,
28.8,77.1,0,0.0,2023-05,-21.15,
