Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
212,28.5,77.0,0.0,2022-01,8.35,75.0,12.764224,9.21,-0.9471233,990.4699
213,28.5,77.0,0.0,2022-01,14.21,105.0,12.764224,9.21,-0.9471233,990.4699
214,28.5,77.0,0.0,2022-01,18.73,125.0,12.764224,9.21,-0.9471233,990.4699
215,28.5,77.1,0.0,2022-01,12.54,55.0,12.753055,9.21,-0.9711229,989.337
216,28.5,77.1,0.0,2022-01,10.1,100.0,12.753055,9.21,-0.9711229,989.337
217,28.5,77.1,0.0,2022-01,1.9,20.0,12.753055,9.21,-0.9711229,989.337
218,28.5,77.1,0.0,2022-01,43.79,65.0,12.753055,9.21,-0.9711229,989.337
219,28.5,77.1,0.0,2022-01,13.43,100.0,12.753055,9.21,-0.9711229,989.337
220,28.5,77.1,0.0,2022-01,32.06,43.0,12.753055,9.21,-0.9711229,989.337
221,28.5,77.2,0.0,2022-01,47.56,150.0,12.772998,9.24,-0.9811848,990.4502
222,28.5,77.2,0.0,2022-01,41.1,94.5,12.772998,9.24,-0.9811848,990.4502
223,28.5,77.2,0.0,2022-01,25.49,104.0,12.772998,9.24,-0.9811848,990.4502
224,28.5,77.2,0.0,2022-01,2.9,12.0,12.772998,9.24,-0.9811848,990.4502
225,28.5,77.3,0.0,2022-01,8.4,75.0,12.776696,9.29,-0.9454273,991.89734
226,28.5,77.3,0.0,2022-01,10.25,45.0,12.776696,9.29,-0.9454273,991.89734
227,28.4,77.1,0.0,2022-01,65.0,65.0,12.668531,9.05,-0.9909746,987.2052
228,28.4,77.1,0.0,2022-01,41.13,100.0,12.668531,9.05,-0.9909746,987.2052
229,28.4,77.1,0.0,2022-01,65.54,82.0,12.668531,9.05,-0.9909746,987.2052
230,28.4,77.1,0.0,2022-01,63.88,90.0,12.668531,9.05,-0.9909746,987.2052
231,28.4,77.2,0.0,2022-01,19.27,35.0,12.760604,9.17,-0.9477232,989.67053
232,28.4,77.2,0.0,2022-01,43.89,86.5,12.760604,9.17,-0.9477232,989.67053
233,28.8,77.0,0.0,2022-05,2.3,100.0,32.15535,17.9,-0.939331,976.55225
234,28.8,77.0,0.0,2022-05,3.73,8.6,32.15535,17.9,-0.939331,976.55225
235,28.8,77.0,0.0,2022-05,3.89,50.0,32.15535,17.9,-0.939331,976.55225
236,28.8,77.0,0.0,2022-05,18.55,47.0,32.15535,17.9,-0.939331,976.55225
237,28.8,77.1,0.0,2022-05,8.79,80.0,31.939905,18.3,-1.0976834,976.54614
238,28.8,77.1,0.0,2022-05,18.0,45.0,31.939905,18.3,-1.0976834,976.54614
239,28.8,77.2,0.0,2022-05,8.41,200.0,31.749407,18.52,-1.154292,976.3116
240,28.8,77.2,0.0,2022-05,7.05,65.0,31.749407,18.52,-1.154292,976.3116
241,28.8,77.2,0.0,2022-05,8.08,85.0,31.749407,18.52,-1.154292,976.3116
242,28.8,77.2,0.0,2022-05,9.75,101.0,31.749407,18.52,-1.154292,976.3116
243,28.5,76.9,0.0,2022-05,1.68,28.0,33.15442,16.33,-0.7222129,977.0453
244,28.5,76.9,0.0,2022-05,7.43,100.0,33.15442,16.33,-0.7222129,977.0453
245,28.5,76.9,0.0,2022-05,7.28,40.0,33.15442,16.33,-0.7222129,977.0453
246,28.5,76.9,0.0,2022-05,1.27,15.0,33.15442,16.33,-0.7222129,977.0453
247,28.5,76.9,0.0,2022-05,10.8,100.0,33.15442,16.33,-0.7222129,977.0453
248,28.5,77.0,0.0,2022-05,9.2,75.0,32.79866,16.89,-0.7896896,975.77325
249,28.5,77.0,0.0,2022-05,15.3,105.0,32.79866,16.89,-0.7896896,975.77325
250,28.5,77.0,0.0,2022-05,17.86,125.0,32.79866,16.89,-0.7896896,975.77325
251,28.5,77.1,0.0,2022-05,15.42,55.0,32.52179,17.34,-0.8786178,974.78973
252,28.5,77.1,0.0,2022-05,12.4,100.0,32.52179,17.34,-0.8786178,974.78973
253,28.5,77.1,0.0,2022-05,3.29,20.0,32.52179,17.34,-0.8786178,974.78973
254,28.5,77.1,0.0,2022-05,14.0,100.0,32.52179,17.34,-0.8786178,974.78973
255,28.5,77.1,0.0,2022-05,31.79,43.0,32.52179,17.34,-0.8786178,974.78973
256,28.5,77.2,0.0,2022-05,49.48,150.0,32.386158,17.65,-1.0977743,975.8735
257,28.5,77.2,0.0,2022-05,39.53,94.5,32.386158,17.65,-1.0977743,975.8735
258,28.5,77.2,0.0,2022-05,24.7,104.0,32.386158,17.65,-1.0977743,975.8735
259,28.5,77.2,0.0,2022-05,3.7,12.0,32.386158,17.65,-1.0977743,975.8735
260,28.5,77.3,0.0,2022-05,9.32,75.0,32.19028,18.04,-0.9849006,977.267
261,28.5,77.3,0.0,2022-05,22.34,75.0,32.19028,18.04,-0.9849006,977.267
262,28.5,77.3,0.0,2022-05,10.3,45.0,32.19028,18.04,-0.9849006,977.267
263,28.4,77.1,0.0,2022-05,53.34,65.0,32.67468,16.78,-0.7139221,972.8007
264,28.4,77.1,0.0,2022-05,41.37,100.0,32.67468,16.78,-0.7139221,972.8007
265,28.4,77.1,0.0,2022-05,66.01,82.0,32.67468,16.78,-0.7139221,972.8007
266,28.4,77.1,0.0,2022-05,64.37,90.0,32.67468,16.78,-0.7139221,972.8007
267,28.4,77.2,0.0,2022-05,23.08,35.0,32.544926,17.32,-0.8939264,975.1293
268,28.4,77.2,0.0,2022-05,10.95,100.0,32.544926,17.32,-0.8939264,975.1293
269,28.4,77.2,0.0,2022-05,48.64,86.5,32.544926,17.32,-0.8939264,975.1293
270,28.8,77.0,0.0,2022-08,1.58,100.0,28.743864,24.43,-2.6426623,977.47614
271,28.8,77.0,0.0,2022-08,2.57,8.6,28.743864,24.43,-2.6426623,977.47614
272,28.8,77.0,0.0,2022-08,1.64,50.0,28.743864,24.43,-2.6426623,977.47614
273,28.8,77.0,0.0,2022-08,20.33,47.0,28.743864,24.43,-2.6426623,977.47614
274,28.8,77.1,0.0,2022-08,9.75,80.0,28.700174,24.49,-2.6464891,977.4264
275,28.8,77.1,0.0,2022-08,19.07,45.0,28.700174,24.49,-2.6464891,977.4264
276,28.8,77.2,0.0,2022-08,9.05,200.0,28.64815,24.51,-2.641045,977.1522
277,28.8,77.2,0.0,2022-08,7.32,65.0,28.64815,24.51,-2.641045,977.1522
278,28.8,77.2,0.0,2022-08,8.18,85.0,28.64815,24.51,-2.641045,977.1522
279,28.8,77.2,0.0,2022-08,10.46,101.0,28.64815,24.51,-2.641045,977.1522
280,28.5,76.9,0.0,2022-08,0.79,28.0,28.925064,24.18,-2.4788697,978.0708
281,28.5,76.9,0.0,2022-08,7.36,100.0,28.925064,24.18,-2.4788697,978.0708
282,28.5,76.9,0.0,2022-08,7.22,40.0,28.925064,24.18,-2.4788697,978.0708
283,28.5,76.9,0.0,2022-08,0.97,15.0,28.925064,24.18,-2.4788697,978.0708
284,28.5,76.9,0.0,2022-08,10.69,100.0,28.925064,24.18,-2.4788697,978.0708
285,28.5,77.0,0.0,2022-08,7.37,75.0,28.78256,24.23,-2.5693448,976.74133
