latitude,longitude,month,dataValue,wellDepth
28.6,77.3,2023-06,-26.63,37.21
28.6,77.3,2023-07,-27.09,38.22
28.6,77.3,2023-08,-27.27,39.2
28.6,77.3,2023-09,-27.24,40.21
28.6,77.3,2023-10,-27.12,41.02
28.6,77.3,2023-11,-27.02,42.04
28.6,77.3,2023-12,-26.89,43.04
28.6,77.0,2020-01,22.02,75.0
28.6,77.0,2020-08,21.05,75.0
28.6,77.0,2020-11,21.48,75.0
28.6,77.0,2021-01,19.84,75.0
28.6,77.0,2021-08,19.28,75.0
28.6,77.0,2021-11,17.35,75.0
28.6,77.0,2022-01,16.72,75.0
28.6,77.0,2022-05,16.6,75.0
28.6,77.0,2022-08,16.75,75.0
28.6,77.0,2022-11,16.32,75.0
28.6,77.0,2022-12,-15.98,57.87
28.6,77.0,2023-01,-15.73,35.75
28.6,77.0,2023-02,-15.51,36.57
28.6,77.0,2023-03,-15.44,37.68
28.6,77.0,2023-04,-15.48,38.59
28.6,77.0,2023-05,-15.52,39.6
28.6,77.0,2023-06,-15.62,40.52
28.6,77.0,2023-07,-15.46,41.53
28.6,77.0,2023-08,-14.98,42.5
28.6,77.0,2023-09,-14.55,43.55
28.6,77.0,2023-10,-14.4,44.31
28.6,77.0,2023-11,-14.23,45.34
28.6,77.0,2023-12,-14.07,46.35
28.6,77.3,2022-01,26.17,45.0
28.6,77.3,2022-05,26.87,45.0
28.6,77.3,2022-08,26.75,45.0
28.6,77.3,2022-11,26.43,45.0
28.6,77.3,2020-01,9.34,41.0
28.6,77.3,2020-08,8.96,41.0
28.6,77.3,2020-11,10.8,41.0
28.6,77.3,2021-01,9.04,41.0
28.6,77.3,2021-08,8.67,41.0
28.6,77.3,2021-11,8.21,41.0
28.6,77.3,2022-01,8.13,41.0
28.6,77.3,2022-05,8.48,41.0
28.6,77.3,2022-08,8.38,41.0
28.6,77.3,2022-11,8.17,41.0
28.6,77.3,2023-05,-7.94,37.8
28.6,77.3,2023-06,-8.03,37.94
28.6,77.3,2023-07,-7.88,38.96
28.6,77.3,2023-08,-7.73,39.91
28.6,77.3,2023-09,-7.59,40.96
28.6,77.3,2023-10,-7.5,41.77
28.6,77.3,2023-11,-7.5,42.76
28.6,77.3,2023-12,-7.67,43.78
28.6,77.1,2022-11,-35.63,57.02
28.6,77.1,2022-12,-35.89,56.8
28.6,77.1,2023-01,-35.91,34.89
28.6,77.1,2023-02,-35.92,35.71
28.6,77.1,2023-03,-40.01,36.8
28.6,77.1,2023-04,-36.56,37.73
28.6,77.1,2023-05,-36.79,38.74
28.6,77.1,2023-06,-36.76,39.66
28.6,77.1,2023-07,-36.79,40.67
28.6,77.1,2023-08,-38.69,41.64
28.6,77.1,2023-09,-36.24,42.69
28.6,77.1,2023-10,-60.99,43.31
28.6,77.1,2023-11,-78.84,44.21
28.6,77.1,2023-12,-65.04,45.31
28.6,77.1,2020-01,38.25,80.0
28.6,77.1,2020-08,37.07,80.0
28.6,77.1,2020-11,38.13,80.0
28.6,77.1,2021-01,36.85,80.0
28.6,77.1,2021-08,36.95,80.0
28.6,77.1,2021-11,36.66,80.0
28.6,77.1,2022-01,35.95,80.0
28.6,77.1,2022-05,35.43,80.0
28.6,77.1,2022-08,35.38,80.0
28.6,77.1,2022-11,35.44,80.0
28.6,77.3,2020-01,25.26,55.0
28.6,77.3,2020-08,25.47,55.0
28.6,77.3,2020-11,26.36,55.0
28.6,77.3,2021-01,25.39,55.0
28.6,77.3,2021-08,24.48,55.0
28.6,77.3,2021-11,26.03,55.0
28.6,77.3,2022-01,25.77,55.0
28.6,77.3,2022-05,25.87,55.0
28.6,77.3,2022-08,26.08,55.0
28.6,77.3,2022-11,26.24,55.0
28.6,77.3,2023-05,25.82,38.73
28.6,77.3,2023-06,25.83,38.87
28.6,77.3,2023-07,25.83,39.88
28.6,77.3,2023-08,25.81,40.83
28.6,77.3,2023-09,20.05,43.55
28.6,77.3,2023-10,19.95,43.92
28.6,77.3,2023-11,23.99,44.36
28.6,77.3,2023-12,34.72,44.85
28.6,77.0,2020-01,10.83,100.0
28.6,77.0,2020-08,11.0,100.0
28.6,77.0,2020-11,10.85,100.0
28.6,77.0,2021-01,10.56,100.0
28.6,77.0,2021-08,8.99,100.0
28.6,77.0,2021-11,7.35,100.0
28.6,77.0,2022-01,6.86,100.0
28.6,77.0,2022-05,6.99,100.0
28.6,77.0,2022-08,6.61,100.0
28.6,77.0,2022-11,6.38,100.0
28.6,77.0,2023-09,8.7,10.05
28.6,77.0,2023-10,6.44,10.05
28.6,77.0,2023-11,6.41,10.05
28.6,77.1,2020-08,25.66,50.0
28.6,77.1,2020-11,25.74,50.0
28.6,77.1,2021-01,24.51,50.0
28.6,77.0,2020-01,12.35,80.0
28.6,77.0,2020-08,11.53,80.0
28.6,77.0,2020-11,12.47,80.0
28.6,77.0,2021-01,10.87,80.0
28.6,77.0,2021-08,9.58,80.0
