,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C
357,28.5,76.9,0.0,2023-03,-10.69,,22.40761
358,28.5,77.0,0.0,2023-03,-8.93,,22.276209
359,28.5,77.0,0.0,2023-03,-15.84,,22.276209
360,28.5,77.0,0.0,2023-03,-14.78,,22.276209
361,28.4,77.1,0.0,2023-03,-66.89,,22.272406
362,28.8,77.0,0.0,2023-04,-19.83,,26.465183
363,28.8,77.2,0.0,2023-04,-9.77,,26.384958
364,28.5,76.9,0.0,2023-04,-10.64,,26.981106
365,28.5,77.0,0.0,2023-04,-9.11,,26.841461
366,28.5,77.0,0.0,2023-04,-17.26,,26.841461
367,28.5,77.0,0.0,2023-04,-14.64,,26.841461
368,28.5,77.2,0.0,2023-04,-23.33,,26.766642
369,28.4,77.1,0.0,2023-04,-66.94,,26.80434
370,28.8,76.9,0.0,2023-05,-4.61,,29.26264
371,28.8,77.0,0.0,2023-05,-3.15,,29.203028
372,28.8,77.0,0.0,2023-05,-7.52,,29.203028
373,28.8,77.0,0.0,2023-05,-19.72,,29.203028
374,28.8,77.1,0.0,2023-05,-9.13,,29.090124
375,28.8,77.1,0.0,2023-05,-7.75,,29.090124
376,28.8,77.1,0.0,2023-05,-21.15,,29.090124
377,28.8,77.2,0.0,2023-05,-9.9,,28.95148
378,28.5,76.9,0.0,2023-05,-10.63,,29.610682
379,28.5,77.0,0.0,2023-05,-9.36,,29.46404
380,28.5,77.0,0.0,2023-05,-18.15,,29.46404
381,28.5,77.0,0.0,2023-05,-14.53,,29.46404
382,28.5,77.2,0.0,2023-05,-38.37,,29.30108
383,28.5,77.2,0.0,2023-05,-23.29,,29.30108
384,28.5,77.3,0.0,2023-05,-9.78,,29.284945
385,28.4,77.1,0.0,2023-05,-67.09,,29.379246
386,28.4,77.2,0.0,2023-05,-47.08,,29.465958
387,28.8,76.9,0.0,2023-06,-4.6,,31.443874
388,28.8,77.0,0.0,2023-06,-2.94,,31.34639
389,28.8,77.0,0.0,2023-06,-7.58,,31.34639
390,28.8,77.0,0.0,2023-06,-20.12,,31.34639
391,28.8,77.1,0.0,2023-06,-9.04,,31.233334
392,28.8,77.1,0.0,2023-06,-7.83,,31.233334
393,28.8,77.1,0.0,2023-06,-21.65,,31.233334
394,28.8,77.2,0.0,2023-06,-10.47,,31.13751
395,28.5,76.9,0.0,2023-06,-10.61,,31.602312
396,28.5,77.0,0.0,2023-06,-9.4,,31.48476
397,28.5,77.0,0.0,2023-06,-19.04,,31.48476
398,28.5,77.0,0.0,2023-06,-14.41,,31.48476
399,28.5,77.2,0.0,2023-06,-38.16,,31.349892
400,28.5,77.2,0.0,2023-06,-23.03,,31.349892
401,28.5,77.3,0.0,2023-06,-9.85,,31.343763
402,28.4,77.1,0.0,2023-06,-67.22,,31.33092
403,28.4,77.2,0.0,2023-06,-47.61,,31.393452
404,28.8,76.9,0.0,2023-07,-3.74,,29.240505
405,28.8,77.0,0.0,2023-07,-1.45,,29.15176
406,28.8,77.0,0.0,2023-07,-6.96,,29.15176
407,28.8,77.0,0.0,2023-07,-20.44,,29.15176
408,28.8,77.1,0.0,2023-07,-9.16,,29.047289
409,28.8,77.1,0.0,2023-07,-17.96,,29.047289
410,28.8,77.1,0.0,2023-07,-22.29,,29.047289
411,28.8,77.2,0.0,2023-07,-7.87,,28.936556
412,28.5,76.9,0.0,2023-07,-10.41,,29.36237
413,28.5,77.0,0.0,2023-07,-8.79,,29.170198
414,28.5,77.0,0.0,2023-07,-18.94,,29.170198
415,28.5,77.0,0.0,2023-07,-14.19,,29.170198
416,28.5,77.2,0.0,2023-07,-38.05,,29.002855
417,28.5,77.2,0.0,2023-07,-22.93,,29.002855
418,28.5,77.3,0.0,2023-07,-9.27,,28.975916
419,28.4,77.1,0.0,2023-07,-67.23,,28.95058
420,28.4,77.2,0.0,2023-07,-43.52,,29.004295
421,28.8,76.9,0.0,2023-08,-3.37,,30.09117
422,28.8,77.0,0.0,2023-08,-1.13,,29.958574
423,28.8,77.0,0.0,2023-08,-6.79,,29.958574
424,28.8,77.0,0.0,2023-08,-20.39,,29.958574
425,28.8,77.1,0.0,2023-08,-9.11,,29.798279
426,28.8,77.1,0.0,2023-08,-6.87,,29.798279
427,28.8,77.1,0.0,2023-08,26.06,35.0,29.798279
428,28.8,77.1,0.0,2023-08,-22.57,,29.798279
429,28.8,77.2,0.0,2023-08,-7.21,,29.626375
430,28.5,76.9,0.0,2023-08,-10.22,,30.181335
431,28.5,77.0,0.0,2023-08,-8.34,,29.93286
432,28.5,77.0,0.0,2023-08,-18.01,,29.93286
433,28.5,77.0,0.0,2023-08,-13.92,,29.93286
434,28.5,77.2,0.0,2023-08,-37.78,,29.65696
435,28.5,77.2,0.0,2023-08,-22.68,,29.65696
436,28.5,77.3,0.0,2023-08,-8.46,,29.59559
437,28.4,77.1,0.0,2023-08,-67.29,,29.594294
